sample	EC50	IC50	Amax	Activity_area
RKN_OVARY	NA	8	-1.327861547	0.1202
RKO_LARGE_INTESTINE	5.934838295	8	-14.04634285	0.06025
RL952_ENDOMETRIUM	8.115574905	3.060330629	-63.50956726	1.5385
RPMI7951_SKIN	NA	8	-1.604552865	0.172
RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.316598655	8	-37.57675171	0.6156
RT112_URINARY_TRACT	NA	8	-5.126831532	0.3784
RT4_URINARY_TRACT	0.168995082	8	-49.82910156	1.6683
RVH421_SKIN	NA	8	0.272412479	0.05907
SAOS2_BONE	NA	8	5.326389313	0.2072
SBC5_LUNG	NA	8	-0.491069943	0.1555
SCABER_URINARY_TRACT	0.403848857	0.734280467	-71.03683472	2.0435
SCC9_UPPER_AERODIGESTIVE_TRACT	0.934977889	1.494333386	-76.13653564	2.1038
SF126_CENTRAL_NERVOUS_SYSTEM	NA	8	3.058148623	0.07066
SF295_CENTRAL_NERVOUS_SYSTEM	NA	8	-2.515156269	0.1438
SF8657_SKIN	NA	8	-3.11433959	0.1304
SH10TC_STOMACH	NA	8	-5.32046175	0.1529
SHP77_LUNG	NA	8	2.088600636	0.2221
SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	5.476659923	-53.75166321	1.9143
SIMA_AUTONOMIC_GANGLIA	NA	8	26.48429298	0.1907
SJRH30_SOFT_TISSUE	NA	8	-1.907502055	0.1233
SJSA1_BONE	NA	8	-3.405080318	0.4775
SKBR3_BREAST	1.055330515	8	-32.13349915	0.6481
SKCO1_LARGE_INTESTINE	2.241742849	8	-41.66202164	0.7601
SKES1_BONE	2.406007528	8	-45.60988235	0.8541
SKHEP1_LIVER	8.758600302	7.896037102	-51.57125473	0.3647
SKLMS1_SOFT_TISSUE	3.562900066	4.445358753	-66.83187866	1.0627
SKLU1_LUNG	8.557869574	8	-38.74069595	0.5373
SKMEL2_SKIN	NA	8	8.684378624	0.09419
SKMEL24_SKIN	NA	8	1.146056056	0.1272
SKMEL30_SKIN	NA	8	0.816992998	0
SKMEL31_SKIN	NA	8	-1.477268934	0.1344
SKMEL5_SKIN	4.322117329	8	-49.48643112	0.4067
SKMES1_LUNG	1.085312366	0.96515131	-91.42735291	2.3791
SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.351873875	3.537265301	-57.95610809	1.4542
SKNAS_AUTONOMIC_GANGLIA	NA	8	-0.587903082	0.03266
SKNBE2_AUTONOMIC_GANGLIA	NA	8	8.321310997	0.2446
SKNDZ_AUTONOMIC_GANGLIA	NA	8	4.384623051	0.04943
SKNFI_AUTONOMIC_GANGLIA	NA	8	4.615112305	0.4157
SKNSH_AUTONOMIC_GANGLIA	2.566256523	8	-28.01514816	0.5904
SKOV3_OVARY	NA	8	-43.6240654	0.6147
SNGM_ENDOMETRIUM	8.721974131	8	-37.49861145	0.7714
SNU1_STOMACH	NA	8	-10.2054224	0.3576
SNU16_STOMACH	NA	8	-0.153620988	0.4495
SNU182_LIVER	NA	8	-9.773207664	0.9051
SNU387_LIVER	NA	8	-7.356926441	0.8118
SNU398_LIVER	NA	8	10.15572929	0.01824
SNU423_LIVER	NA	8	-4.529827595	0
SNU449_LIVER	1.045074344	8	-21.6228199	0.3379
SNU475_LIVER	NA	8	-29.83067894	0.6863
SNUC2A_LARGE_INTESTINE	0.186988384	8	-19.92651176	0.4618
SNUC2B_LARGE_INTESTINE	NA	8	-6.854716778	0.3228
SQ1_LUNG	8.595465466	5.999964714	-64.72824097	0.9531
SU8686_PANCREAS	8.917250367	8	-22.21760368	0.1866
SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	1.157077074	0.06596
SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.091618776	8	-28.29516602	1.0076
SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	15.47608948	0.3886
SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	8.100821495	0.689
SUIT2_PANCREAS	6.745168209	8	-49.72615051	0.9399
SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	3.878909588	0
SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	0.561099648	0.3717
SW1088_CENTRAL_NERVOUS_SYSTEM	NA	8	-6.956596851	0.1109
SW1271_LUNG	0.133498222	8	-4.977474213	0.08464
SW1353_BONE	NA	8	5.343530655	0.1981
SW1417_LARGE_INTESTINE	NA	8	-3.026026487	0.3159
SW1573_LUNG	1.578596115	8	-28.80326843	0.3446
SW1990_PANCREAS	8.541175532	8	-36.1482811	0.5871
SW403_LARGE_INTESTINE	0.816393495	8	-45.99539566	1.0355
SW48_LARGE_INTESTINE	0.002542614	1.215090156	-57.65122223	2.558
SW480_LARGE_INTESTINE	NA	8	2.607806444	0.2869
SW579_THYROID	NA	8	-1.038875818	0.3561
SW620_LARGE_INTESTINE	NA	8	3.735089302	0
SW780_URINARY_TRACT	1.767854452	8	-32.52693558	0.9057
SW900_LUNG	NA	8	-8.991792679	0.1385
T24_URINARY_TRACT	3.92647624	7.82816124	-50.43416977	0.8934
T3M10_LUNG	8.610752295	8	-36.85489273	0.3811
T47D_BREAST	NA	8	-6.683815479	0.1791
T84_LARGE_INTESTINE	NA	8	-2.324239969	1.0015
T98G_CENTRAL_NERVOUS_SYSTEM	NA	8	-0.72751534	0.5313
TC71_BONE	NA	8	-4.957032681	0
TCCSUP_URINARY_TRACT	NA	8	1.657687187	0.06454
TE1_OESOPHAGUS	8.792121557	7.821309566	-50.54677963	0.8417
TE11_OESOPHAGUS	0.870171726	0.987239659	-91.84072113	2.0088
TE15_OESOPHAGUS	0.412335545	0.877725303	-79.58098602	1.677
TE5_OESOPHAGUS	1.534486651	8	-14.77249432	0.23
TE617T_SOFT_TISSUE	1.359577656	1.51734972	-88.6974411	1.7201
TE9_OESOPHAGUS	1.980753779	8	-45.5231514	0.9259
TEN_ENDOMETRIUM	NA	8	3.83914876	0.08303
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	0.675030708	0.01286
TOV112D_OVARY	8.39237468	8	-46.47077942	0.8777
TOV21G_OVARY	8.539506363	6.919062614	-56.10400009	0.8857
TT2609C02_THYROID	2.478951454	8	-48.0713501	0.8222
TYKNU_OVARY	NA	8	7.284276962	0.2076
U118MG_CENTRAL_NERVOUS_SYSTEM	NA	8	-0.298017919	0.05681
U2OS_BONE	8.832890524	8	-25.13688087	0.4888
U87MG_CENTRAL_NERVOUS_SYSTEM	NA	8	11.64905548	0.07387
U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2.030527592	8	-31.24400902	0.5495
UACC257_SKIN	NA	8	4.788830757	0
UACC62_SKIN	8.614220499	8	-48.51916504	0.6873
UACC812_BREAST	NA	0.912124534	-71.85778046	0.4433
UMUC3_URINARY_TRACT	NA	8	4.613566399	0
VMRCLCD_LUNG	NA	8	19.1242733	0.2547
VMRCRCW_KIDNEY	4.227674007	8	-26.24533272	0.194
VMRCRCZ_KIDNEY	2.178513288	8	-23.6163578	0.9017
WM115_SKIN	2.255732775	8	-26.29893875	0.1035
WM1799_SKIN	8.494191199	8	-40.77984238	0.6819
WM2664_SKIN	NA	8	3.805812597	0.08816
WM793_SKIN	NA	8	-4.040697575	0.07185
WM88_SKIN	NA	8	0.592600942	0.242
WM983B_SKIN	NA	8	2.241383076	0.981
YKG1_CENTRAL_NERVOUS_SYSTEM	NA	8	-3.171900034	0.07841
ZR751_BREAST	NA	8	-34.83546066	1.1717
ZR7530_BREAST	NA	8	-22.0538826	0.03998
